n_lane,egress_symbols_per_beat,burstiness,ready_duty,rho_lane,opq_loss_probability,time_merger_loss_probability,loss_ratio_clipped
4,1,0.27000000,0.49400000,0.00750000,1.000000000000e-12,1.388888888889e-02,1000000.0000000000
4,1,0.29000000,0.49400000,0.00750000,1.000000000000e-12,1.851851851852e-02,1000000.0000000000
4,1,0.31000000,0.49400000,0.00750000,1.000000000000e-12,2.314814814815e-02,1000000.0000000000
4,1,0.33000000,0.49400000,0.00750000,1.000000000000e-12,3.225806451613e-02,1000000.0000000000
4,1,0.35000000,0.49400000,0.00750000,1.000000000000e-12,3.686635944700e-02,1000000.0000000000
4,1,0.37000000,0.49400000,0.00750000,1.000000000000e-12,4.186046511628e-02,1000000.0000000000
4,1,0.39000000,0.49400000,0.00750000,1.000000000000e-12,5.555555555556e-02,1000000.0000000000
4,1,0.41000000,0.49400000,0.00750000,1.000000000000e-12,6.018518518519e-02,1000000.0000000000
4,1,0.43000000,0.49400000,0.00750000,1.000000000000e-12,7.373271889401e-02,1000000.0000000000
4,1,0.45000000,0.49400000,0.00750000,1.000000000000e-12,7.834101382488e-02,1000000.0000000000
4,1,0.47000000,0.49400000,0.00750000,1.000000000000e-12,8.755760368664e-02,1000000.0000000000
4,1,0.49000000,0.49400000,0.00750000,1.000000000000e-12,8.837209302326e-02,1000000.0000000000
4,1,0.51000000,0.49400000,0.00750000,1.000000000000e-12,9.722222222222e-02,1000000.0000000000
4,1,0.53000000,0.49400000,0.00750000,1.000000000000e-12,1.064814814815e-01,1000000.0000000000
4,1,0.55000000,0.49400000,0.00750000,1.000000000000e-12,1.198156682028e-01,1000000.0000000000
4,1,0.57000000,0.49400000,0.00750000,1.000000000000e-12,1.290322580645e-01,1000000.0000000000
4,1,0.59000000,0.49400000,0.00750000,1.000000000000e-12,1.203703703704e-01,1000000.0000000000
4,1,0.61000000,0.49400000,0.00750000,1.000000000000e-12,1.296296296296e-01,1000000.0000000000
4,1,0.63000000,0.49400000,0.00750000,1.000000000000e-12,1.428571428571e-01,1000000.0000000000
4,1,0.65000000,0.49400000,0.00750000,1.000000000000e-12,1.395348837209e-01,1000000.0000000000
4,1,0.67000000,0.49400000,0.00750000,1.000000000000e-12,1.474654377880e-01,1000000.0000000000
4,1,0.69000000,0.49400000,0.00750000,1.000000000000e-12,1.520737327189e-01,1000000.0000000000
4,1,0.71000000,0.49400000,0.00750000,1.000000000000e-12,1.620370370370e-01,1000000.0000000000
4,1,0.73000000,0.49400000,0.00750000,1.000000000000e-12,1.705069124424e-01,1000000.0000000000
4,1,0.75000000,0.49400000,0.00750000,1.000000000000e-12,1.843317972350e-01,1000000.0000000000
4,1,0.77000000,0.49400000,0.00750000,1.000000000000e-12,1.926605504587e-01,1000000.0000000000
4,1,0.79000000,0.49400000,0.00750000,1.000000000000e-12,1.981566820276e-01,1000000.0000000000
4,1,0.81000000,0.49400000,0.00750000,1.000000000000e-12,2.119815668203e-01,1000000.0000000000
4,1,0.83000000,0.49400000,0.00750000,1.000000000000e-12,2.304147465438e-01,1000000.0000000000
4,1,0.85000000,0.49400000,0.00750000,1.000000000000e-12,2.350230414747e-01,1000000.0000000000
4,1,0.87000000,0.49400000,0.00750000,1.000000000000e-12,2.465753424658e-01,1000000.0000000000
4,1,0.89000000,0.49400000,0.00750000,1.000000000000e-12,2.580645161290e-01,1000000.0000000000
4,1,0.91000000,0.49400000,0.00750000,1.000000000000e-12,2.672811059908e-01,1000000.0000000000
4,1,0.93000000,0.49400000,0.00750000,1.000000000000e-12,2.798165137615e-01,1000000.0000000000
4,1,0.95000000,0.49400000,0.00750000,1.000000000000e-12,3.027522935780e-01,1000000.0000000000
4,1,-0.25000000,0.50500000,0.00750000,1.000000000000e-12,1.000000000000e-12,1.0000000000
4,1,-0.23000000,0.50500000,0.00750000,1.000000000000e-12,1.000000000000e-12,1.0000000000
4,1,-0.21000000,0.50500000,0.00750000,1.000000000000e-12,1.000000000000e-12,1.0000000000
4,1,-0.19000000,0.50500000,0.00750000,1.000000000000e-12,1.000000000000e-12,1.0000000000
4,1,-0.17000000,0.50500000,0.00750000,1.000000000000e-12,1.000000000000e-12,1.0000000000
4,1,-0.15000000,0.50500000,0.00750000,1.000000000000e-12,1.000000000000e-12,1.0000000000
4,1,-0.13000000,0.50500000,0.00750000,1.000000000000e-12,1.000000000000e-12,1.0000000000
4,1,-0.11000000,0.50500000,0.00750000,1.000000000000e-12,1.000000000000e-12,1.0000000000
4,1,-0.09000000,0.50500000,0.00750000,1.000000000000e-12,1.000000000000e-12,1.0000000000
4,1,-0.07000000,0.50500000,0.00750000,1.000000000000e-12,1.000000000000e-12,1.0000000000
4,1,-0.05000000,0.50500000,0.00750000,1.000000000000e-12,1.000000000000e-12,1.0000000000
4,1,-0.03000000,0.50500000,0.00750000,1.000000000000e-12,1.000000000000e-12,1.0000000000
4,1,-0.01000000,0.50500000,0.00750000,1.000000000000e-12,1.000000000000e-12,1.0000000000
4,1,0.01000000,0.50500000,0.00750000,1.000000000000e-12,1.000000000000e-12,1.0000000000
4,1,0.03000000,0.50500000,0.00750000,1.000000000000e-12,1.000000000000e-12,1.0000000000
4,1,0.05000000,0.50500000,0.00750000,1.000000000000e-12,1.000000000000e-12,1.0000000000
4,1,0.07000000,0.50500000,0.00750000,1.000000000000e-12,1.000000000000e-12,1.0000000000
4,1,0.09000000,0.50500000,0.00750000,1.000000000000e-12,1.000000000000e-12,1.0000000000
4,1,0.11000000,0.50500000,0.00750000,1.000000000000e-12,1.000000000000e-12,1.0000000000
4,1,0.13000000,0.50500000,0.00750000,1.000000000000e-12,1.000000000000e-12,1.0000000000
4,1,0.15000000,0.50500000,0.00750000,1.000000000000e-12,1.000000000000e-12,1.0000000000
4,1,0.17000000,0.50500000,0.00750000,1.000000000000e-12,4.608294930876e-03,1000000.0000000000
4,1,0.19000000,0.50500000,0.00750000,1.000000000000e-12,4.629629629630e-03,1000000.0000000000
4,1,0.21000000,0.50500000,0.00750000,1.000000000000e-12,9.259259259259e-03,1000000.0000000000
4,1,0.23000000,0.50500000,0.00750000,1.000000000000e-12,9.216589861751e-03,1000000.0000000000
4,1,0.25000000,0.50500000,0.00750000,1.000000000000e-12,9.216589861751e-03,1000000.0000000000
4,1,0.27000000,0.50500000,0.00750000,1.000000000000e-12,1.388888888889e-02,1000000.0000000000
4,1,0.29000000,0.50500000,0.00750000,1.000000000000e-12,1.851851851852e-02,1000000.0000000000
4,1,0.31000000,0.50500000,0.00750000,1.000000000000e-12,2.314814814815e-02,1000000.0000000000
4,1,0.33000000,0.50500000,0.00750000,1.000000000000e-12,3.225806451613e-02,1000000.0000000000
4,1,0.35000000,0.50500000,0.00750000,1.000000000000e-12,3.686635944700e-02,1000000.0000000000
4,1,0.37000000,0.50500000,0.00750000,1.000000000000e-12,4.186046511628e-02,1000000.0000000000
4,1,0.39000000,0.50500000,0.00750000,1.000000000000e-12,5.555555555556e-02,1000000.0000000000
4,1,0.41000000,0.50500000,0.00750000,1.000000000000e-12,6.018518518519e-02,1000000.0000000000
4,1,0.43000000,0.50500000,0.00750000,1.000000000000e-12,7.373271889401e-02,1000000.0000000000
4,1,0.45000000,0.50500000,0.00750000,1.000000000000e-12,7.834101382488e-02,1000000.0000000000
4,1,0.47000000,0.50500000,0.00750000,1.000000000000e-12,8.755760368664e-02,1000000.0000000000
4,1,0.49000000,0.50500000,0.00750000,1.000000000000e-12,8.837209302326e-02,1000000.0000000000
4,1,0.51000000,0.50500000,0.00750000,1.000000000000e-12,9.722222222222e-02,1000000.0000000000
4,1,0.53000000,0.50500000,0.00750000,1.000000000000e-12,1.064814814815e-01,1000000.0000000000
4,1,0.55000000,0.50500000,0.00750000,1.000000000000e-12,1.198156682028e-01,1000000.0000000000
4,1,0.57000000,0.50500000,0.00750000,1.000000000000e-12,1.290322580645e-01,1000000.0000000000
4,1,0.59000000,0.50500000,0.00750000,1.000000000000e-12,1.203703703704e-01,1000000.0000000000
4,1,0.61000000,0.50500000,0.00750000,1.000000000000e-12,1.296296296296e-01,1000000.0000000000
4,1,0.63000000,0.50500000,0.00750000,1.000000000000e-12,1.428571428571e-01,1000000.0000000000
4,1,0.65000000,0.50500000,0.00750000,1.000000000000e-12,1.395348837209e-01,1000000.0000000000
4,1,0.67000000,0.50500000,0.00750000,1.000000000000e-12,1.474654377880e-01,1000000.0000000000
4,1,0.69000000,0.50500000,0.00750000,1.000000000000e-12,1.520737327189e-01,1000000.0000000000
4,1,0.71000000,0.50500000,0.00750000,1.000000000000e-12,1.620370370370e-01,1000000.0000000000
4,1,0.73000000,0.50500000,0.00750000,1.000000000000e-12,1.705069124424e-01,1000000.0000000000
4,1,0.75000000,0.50500000,0.00750000,1.000000000000e-12,1.843317972350e-01,1000000.0000000000
4,1,0.77000000,0.50500000,0.00750000,1.000000000000e-12,1.926605504587e-01,1000000.0000000000
4,1,0.79000000,0.50500000,0.00750000,1.000000000000e-12,1.981566820276e-01,1000000.0000000000
4,1,0.81000000,0.50500000,0.00750000,1.000000000000e-12,2.119815668203e-01,1000000.0000000000
4,1,0.83000000,0.50500000,0.00750000,1.000000000000e-12,2.304147465438e-01,1000000.0000000000
4,1,0.85000000,0.50500000,0.00750000,1.000000000000e-12,2.350230414747e-01,1000000.0000000000
4,1,0.87000000,0.50500000,0.00750000,1.000000000000e-12,2.465753424658e-01,1000000.0000000000
4,1,0.89000000,0.50500000,0.00750000,1.000000000000e-12,2.580645161290e-01,1000000.0000000000
4,1,0.91000000,0.50500000,0.00750000,1.000000000000e-12,2.672811059908e-01,1000000.0000000000
4,1,0.93000000,0.50500000,0.00750000,1.000000000000e-12,2.798165137615e-01,1000000.0000000000
4,1,0.95000000,0.50500000,0.00750000,1.000000000000e-12,3.027522935780e-01,1000000.0000000000
4,1,-0.25000000,0.51600000,0.00750000,1.000000000000e-12,1.000000000000e-12,1.0000000000
4,1,-0.23000000,0.51600000,0.00750000,1.000000000000e-12,1.000000000000e-12,1.0000000000
4,1,-0.21000000,0.51600000,0.00750000,1.000000000000e-12,1.000000000000e-12,1.0000000000
4,1,-0.19000000,0.51600000,0.00750000,1.000000000000e-12,1.000000000000e-12,1.0000000000
4,1,-0.17000000,0.51600000,0.00750000,1.000000000000e-12,1.000000000000e-12,1.0000000000
4,1,-0.15000000,0.51600000,0.00750000,1.000000000000e-12,1.000000000000e-12,1.0000000000
4,1,-0.13000000,0.51600000,0.00750000,1.000000000000e-12,1.000000000000e-12,1.0000000000
4,1,-0.11000000,0.51600000,0.00750000,1.000000000000e-12,1.000000000000e-12,1.0000000000
4,1,-0.09000000,0.51600000,0.00750000,1.000000000000e-12,1.000000000000e-12,1.0000000000
4,1,-0.07000000,0.51600000,0.00750000,1.000000000000e-12,1.000000000000e-12,1.0000000000
4,1,-0.05000000,0.51600000,0.00750000,1.000000000000e-12,1.000000000000e-12,1.0000000000
4,1,-0.03000000,0.51600000,0.00750000,1.000000000000e-12,1.000000000000e-12,1.0000000000
4,1,-0.01000000,0.51600000,0.00750000,1.000000000000e-12,1.000000000000e-12,1.0000000000
4,1,0.01000000,0.51600000,0.00750000,1.000000000000e-12,1.000000000000e-12,1.0000000000
4,1,0.03000000,0.51600000,0.00750000,1.000000000000e-12,1.000000000000e-12,1.0000000000
4,1,0.05000000,0.51600000,0.00750000,1.000000000000e-12,1.000000000000e-12,1.0000000000
4,1,0.07000000,0.51600000,0.00750000,1.000000000000e-12,1.000000000000e-12,1.0000000000
4,1,0.09000000,0.51600000,0.00750000,1.000000000000e-12,1.000000000000e-12,1.0000000000
4,1,0.11000000,0.51600000,0.00750000,1.000000000000e-12,1.000000000000e-12,1.0000000000
4,1,0.13000000,0.51600000,0.00750000,1.000000000000e-12,1.000000000000e-12,1.0000000000
4,1,0.15000000,0.51600000,0.00750000,1.000000000000e-12,1.000000000000e-12,1.0000000000
4,1,0.17000000,0.51600000,0.00750000,1.000000000000e-12,1.000000000000e-12,1.0000000000
4,1,0.19000000,0.51600000,0.00750000,1.000000000000e-12,1.000000000000e-12,1.0000000000
4,1,0.21000000,0.51600000,0.00750000,1.000000000000e-12,1.000000000000e-12,1.0000000000
4,1,0.23000000,0.51600000,0.00750000,1.000000000000e-12,1.000000000000e-12,1.0000000000
4,1,0.25000000,0.51600000,0.00750000,1.000000000000e-12,1.000000000000e-12,1.0000000000
4,1,0.27000000,0.51600000,0.00750000,1.000000000000e-12,1.000000000000e-12,1.0000000000
4,1,0.29000000,0.51600000,0.00750000,1.000000000000e-12,1.000000000000e-12,1.0000000000
4,1,0.31000000,0.51600000,0.00750000,1.000000000000e-12,9.259259259259e-03,1000000.0000000000
4,1,0.33000000,0.51600000,0.00750000,1.000000000000e-12,9.216589861751e-03,1000000.0000000000
4,1,0.35000000,0.51600000,0.00750000,1.000000000000e-12,1.843317972350e-02,1000000.0000000000
4,1,0.37000000,0.51600000,0.00750000,1.000000000000e-12,2.325581395349e-02,1000000.0000000000
4,1,0.39000000,0.51600000,0.00750000,1.000000000000e-12,3.703703703704e-02,1000000.0000000000
4,1,0.41000000,0.51600000,0.00750000,1.000000000000e-12,4.629629629630e-02,1000000.0000000000
4,1,0.43000000,0.51600000,0.00750000,1.000000000000e-12,5.529953917051e-02,1000000.0000000000
4,1,0.45000000,0.51600000,0.00750000,1.000000000000e-12,5.529953917051e-02,1000000.0000000000
4,1,0.47000000,0.51600000,0.00750000,1.000000000000e-12,7.373271889401e-02,1000000.0000000000
4,1,0.49000000,0.51600000,0.00750000,1.000000000000e-12,7.906976744186e-02,1000000.0000000000
4,1,0.51000000,0.51600000,0.00750000,1.000000000000e-12,7.870370370370e-02,1000000.0000000000
4,1,0.53000000,0.51600000,0.00750000,1.000000000000e-12,9.259259259259e-02,1000000.0000000000
4,1,0.55000000,0.51600000,0.00750000,1.000000000000e-12,9.677419354839e-02,1000000.0000000000
4,1,0.57000000,0.51600000,0.00750000,1.000000000000e-12,1.059907834101e-01,1000000.0000000000
4,1,0.59000000,0.51600000,0.00750000,1.000000000000e-12,1.064814814815e-01,1000000.0000000000
4,1,0.61000000,0.51600000,0.00750000,1.000000000000e-12,1.157407407407e-01,1000000.0000000000
4,1,0.63000000,0.51600000,0.00750000,1.000000000000e-12,1.290322580645e-01,1000000.0000000000
4,1,0.65000000,0.51600000,0.00750000,1.000000000000e-12,1.209302325581e-01,1000000.0000000000
4,1,0.67000000,0.51600000,0.00750000,1.000000000000e-12,1.382488479263e-01,1000000.0000000000
4,1,0.69000000,0.51600000,0.00750000,1.000000000000e-12,1.474654377880e-01,1000000.0000000000
4,1,0.71000000,0.51600000,0.00750000,1.000000000000e-12,1.620370370370e-01,1000000.0000000000
4,1,0.73000000,0.51600000,0.00750000,1.000000000000e-12,1.705069124424e-01,1000000.0000000000
4,1,0.75000000,0.51600000,0.00750000,1.000000000000e-12,1.797235023041e-01,1000000.0000000000
4,1,0.77000000,0.51600000,0.00750000,1.000000000000e-12,1.880733944954e-01,1000000.0000000000
4,1,0.79000000,0.51600000,0.00750000,1.000000000000e-12,1.981566820276e-01,1000000.0000000000
4,1,0.81000000,0.51600000,0.00750000,1.000000000000e-12,2.119815668203e-01,1000000.0000000000
4,1,0.83000000,0.51600000,0.00750000,1.000000000000e-12,2.258064516129e-01,1000000.0000000000
4,1,0.85000000,0.51600000,0.00750000,1.000000000000e-12,2.211981566820e-01,1000000.0000000000
4,1,0.87000000,0.51600000,0.00750000,1.000000000000e-12,2.420091324201e-01,1000000.0000000000
4,1,0.89000000,0.51600000,0.00750000,1.000000000000e-12,2.534562211982e-01,1000000.0000000000
4,1,0.91000000,0.51600000,0.00750000,1.000000000000e-12,2.580645161290e-01,1000000.0000000000
4,1,0.93000000,0.51600000,0.00750000,1.000000000000e-12,2.798165137615e-01,1000000.0000000000
4,1,0.95000000,0.51600000,0.00750000,1.000000000000e-12,2.981651376147e-01,1000000.0000000000
4,1,-0.25000000,0.52700000,0.00750000,1.000000000000e-12,1.000000000000e-12,1.0000000000
4,1,-0.23000000,0.52700000,0.00750000,1.000000000000e-12,1.000000000000e-12,1.0000000000
4,1,-0.21000000,0.52700000,0.00750000,1.000000000000e-12,1.000000000000e-12,1.0000000000
4,1,-0.19000000,0.52700000,0.00750000,1.000000000000e-12,1.000000000000e-12,1.0000000000
4,1,-0.17000000,0.52700000,0.00750000,1.000000000000e-12,1.000000000000e-12,1.0000000000
4,1,-0.15000000,0.52700000,0.00750000,1.000000000000e-12,1.000000000000e-12,1.0000000000
4,1,-0.13000000,0.52700000,0.00750000,1.000000000000e-12,1.000000000000e-12,1.0000000000
4,1,-0.11000000,0.52700000,0.00750000,1.000000000000e-12,1.000000000000e-12,1.0000000000
4,1,-0.09000000,0.52700000,0.00750000,1.000000000000e-12,1.000000000000e-12,1.0000000000
4,1,-0.07000000,0.52700000,0.00750000,1.000000000000e-12,1.000000000000e-12,1.0000000000
4,1,-0.05000000,0.52700000,0.00750000,1.000000000000e-12,1.000000000000e-12,1.0000000000
4,1,-0.03000000,0.52700000,0.00750000,1.000000000000e-12,1.000000000000e-12,1.0000000000
4,1,-0.01000000,0.52700000,0.00750000,1.000000000000e-12,1.000000000000e-12,1.0000000000
4,1,0.01000000,0.52700000,0.00750000,1.000000000000e-12,1.000000000000e-12,1.0000000000
4,1,0.03000000,0.52700000,0.00750000,1.000000000000e-12,1.000000000000e-12,1.0000000000
4,1,0.05000000,0.52700000,0.00750000,1.000000000000e-12,1.000000000000e-12,1.0000000000
4,1,0.07000000,0.52700000,0.00750000,1.000000000000e-12,1.000000000000e-12,1.0000000000
4,1,0.09000000,0.52700000,0.00750000,1.000000000000e-12,1.000000000000e-12,1.0000000000
4,1,0.11000000,0.52700000,0.00750000,1.000000000000e-12,1.000000000000e-12,1.0000000000
4,1,0.13000000,0.52700000,0.00750000,1.000000000000e-12,1.000000000000e-12,1.0000000000
4,1,0.15000000,0.52700000,0.00750000,1.000000000000e-12,1.000000000000e-12,1.0000000000
4,1,0.17000000,0.52700000,0.00750000,1.000000000000e-12,1.000000000000e-12,1.0000000000
4,1,0.19000000,0.52700000,0.00750000,1.000000000000e-12,1.000000000000e-12,1.0000000000
4,1,0.21000000,0.52700000,0.00750000,1.000000000000e-12,1.000000000000e-12,1.0000000000
4,1,0.23000000,0.52700000,0.00750000,1.000000000000e-12,1.000000000000e-12,1.0000000000
4,1,0.25000000,0.52700000,0.00750000,1.000000000000e-12,1.000000000000e-12,1.0000000000
4,1,0.27000000,0.52700000,0.00750000,1.000000000000e-12,1.000000000000e-12,1.0000000000
4,1,0.29000000,0.52700000,0.00750000,1.000000000000e-12,1.000000000000e-12,1.0000000000
4,1,0.31000000,0.52700000,0.00750000,1.000000000000e-12,9.259259259259e-03,1000000.0000000000
4,1,0.33000000,0.52700000,0.00750000,1.000000000000e-12,9.216589861751e-03,1000000.0000000000
4,1,0.35000000,0.52700000,0.00750000,1.000000000000e-12,1.843317972350e-02,1000000.0000000000
4,1,0.37000000,0.52700000,0.00750000,1.000000000000e-12,2.325581395349e-02,1000000.0000000000
4,1,0.39000000,0.52700000,0.00750000,1.000000000000e-12,3.703703703704e-02,1000000.0000000000
4,1,0.41000000,0.52700000,0.00750000,1.000000000000e-12,4.629629629630e-02,1000000.0000000000
4,1,0.43000000,0.52700000,0.00750000,1.000000000000e-12,5.529953917051e-02,1000000.0000000000
4,1,0.45000000,0.52700000,0.00750000,1.000000000000e-12,5.529953917051e-02,1000000.0000000000
4,1,0.47000000,0.52700000,0.00750000,1.000000000000e-12,7.373271889401e-02,1000000.0000000000
4,1,0.49000000,0.52700000,0.00750000,1.000000000000e-12,7.906976744186e-02,1000000.0000000000
4,1,0.51000000,0.52700000,0.00750000,1.000000000000e-12,7.870370370370e-02,1000000.0000000000
4,1,0.53000000,0.52700000,0.00750000,1.000000000000e-12,9.259259259259e-02,1000000.0000000000
4,1,0.55000000,0.52700000,0.00750000,1.000000000000e-12,9.677419354839e-02,1000000.0000000000
4,1,0.57000000,0.52700000,0.00750000,1.000000000000e-12,1.059907834101e-01,1000000.0000000000
4,1,0.59000000,0.52700000,0.00750000,1.000000000000e-12,1.064814814815e-01,1000000.0000000000
4,1,0.61000000,0.52700000,0.00750000,1.000000000000e-12,1.157407407407e-01,1000000.0000000000
4,1,0.63000000,0.52700000,0.00750000,1.000000000000e-12,1.290322580645e-01,1000000.0000000000
4,1,0.65000000,0.52700000,0.00750000,1.000000000000e-12,1.209302325581e-01,1000000.0000000000
4,1,0.67000000,0.52700000,0.00750000,1.000000000000e-12,1.382488479263e-01,1000000.0000000000
4,1,0.69000000,0.52700000,0.00750000,1.000000000000e-12,1.474654377880e-01,1000000.0000000000
4,1,0.71000000,0.52700000,0.00750000,1.000000000000e-12,1.620370370370e-01,1000000.0000000000
4,1,0.73000000,0.52700000,0.00750000,1.000000000000e-12,1.705069124424e-01,1000000.0000000000
4,1,0.75000000,0.52700000,0.00750000,1.000000000000e-12,1.797235023041e-01,1000000.0000000000
4,1,0.77000000,0.52700000,0.00750000,1.000000000000e-12,1.880733944954e-01,1000000.0000000000
4,1,0.79000000,0.52700000,0.00750000,1.000000000000e-12,1.981566820276e-01,1000000.0000000000
4,1,0.81000000,0.52700000,0.00750000,1.000000000000e-12,2.119815668203e-01,1000000.0000000000
4,1,0.83000000,0.52700000,0.00750000,1.000000000000e-12,2.258064516129e-01,1000000.0000000000
4,1,0.85000000,0.52700000,0.00750000,1.000000000000e-12,2.211981566820e-01,1000000.0000000000
4,1,0.87000000,0.52700000,0.00750000,1.000000000000e-12,2.420091324201e-01,1000000.0000000000
4,1,0.89000000,0.52700000,0.00750000,1.000000000000e-12,2.534562211982e-01,1000000.0000000000
4,1,0.91000000,0.52700000,0.00750000,1.000000000000e-12,2.580645161290e-01,1000000.0000000000
4,1,0.93000000,0.52700000,0.00750000,1.000000000000e-12,2.798165137615e-01,1000000.0000000000
